IDCompLib,IDCompType,Model,HP,RatedCapacity,RatedPressure,MaxFullFlowPressure,IDControlType,UnloadPoint,MinULSumpPressure,BlowdownTime,UnloadSteps,ModulatingPressRange,PowerFLBHP,TotPackageInputPower,SpecPackagePower,NoLoadPowerFM,NoLoadPowerUL,MaxSurgePressure,MaxPressSurgeFlow,MinStonewallPressure,MinPressStonewallFlow,DesignSurgeFlow,DesignInTemp,DesignInPressure,AmpsFL,EffFL
57,1,15 hp/11 kW,15,56,125,125,2,50,15,40,2,20,16.5,14.10000038,25.10000038,65,26,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
58,1,15 hp/11 kW,15,56,125,125,3,40,15,40,2,16.66699982,16.5,14.10000038,25.10000038,57,26,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
59,1,15 hp/11 kW,15,54,125,135,4,100,15,40,2,-9999,15.80000019,13.39999962,25.10000038,-9999,26,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
61,1,15 hp/11 kW,15,47,150,160,1,50,15,40,2,5,15.80000019,13.39999962,28.29999924,65,25,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
62,1,15 hp/11 kW,15,50,150,150,2,50,15,40,2,20,16.5,14.10000038,28.29999924,65,25,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
63,1,15 hp/11 kW,15,50,150,150,3,40,15,40,2,16.66699982,16.5,14.10000038,28.29999924,57,25,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
64,1,15 hp/11 kW,15,47,150,160,4,100,15,40,2,-9999,15.80000019,13.39999962,28.29999924,-9999,25,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
66,1,15 hp/11 kW,15,46,175,185,1,50,15,40,2,5,15.80000019,13.39999962,29.20000076,65,25,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
67,1,15 hp/11 kW,15,48,175,175,2,50,15,40,2,20,16.5,14.10000038,29.20000076,65,25,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
68,1,15 hp/11 kW,15,48,175,175,3,40,15,40,2,16.66699982,16.5,14.10000038,29.20000076,57,25,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
