ZIP (character),ZIP (numeric),state,eGRID Subregion #1,eGRID Subregion #2,eGRID Subregion #3,,,,,
00906,906,PR,PRMS,,,,,,,
00907,907,PR,PRMS,,,,,,,
00908,908,PR,PRMS,,,,,,,
00909,909,PR,PRMS,,,,,,,
00910,910,PR,PRMS,,,,,,,
00911,911,PR,PRMS,,,,,,,
00912,912,PR,PRMS,,,,,,,
00913,913,PR,PRMS,,,,,,,
00914,914,PR,PRMS,,,,,,,
00915,915,PR,PRMS,,,,,,,
00916,916,PR,PRMS,,,,,,,
00917,917,PR,PRMS,,,,,,,
00918,918,PR,PRMS,,,,,,,
00919,919,PR,PRMS,,,,,,,
00920,920,PR,PRMS,,,,,,,
00921,921,PR,PRMS,,,,,,,
00922,922,PR,PRMS,,,,,,,
00923,923,PR,PRMS,,,,,,,
00924,924,PR,PRMS,,,,,,,
00925,925,PR,PRMS,,,,,,,
00926,926,PR,PRMS,,,,,,,
00927,927,PR,PRMS,,,,,,,
00928,928,PR,PRMS,,,,,,,
00929,929,PR,PRMS,,,,,,,
00930,930,PR,PRMS,,,,,,,
00931,931,PR,PRMS,,,,,,,
00933,933,PR,PRMS,,,,,,,
00934,934,PR,PRMS,,,,,,,
00935,935,PR,PRMS,,,,,,,
00936,936,PR,PRMS,,,,,,,
00937,937,PR,PRMS,,,,,,,
00939,939,PR,PRMS,,,,,,,
00940,940,PR,PRMS,,,,,,,
00949,949,PR,PRMS,,,,,,,
00950,950,PR,PRMS,,,,,,,
00951,951,PR,PRMS,,,,,,,
00952,952,PR,PRMS,,,,,,,
00953,953,PR,PRMS,,,,,,,
00954,954,PR,PRMS,,,,,,,
00955,955,PR,PRMS,,,,,,,
00956,956,PR,PRMS,,,,,,,
00957,957,PR,PRMS,,,,,,,
00958,958,PR,PRMS,,,,,,,
00959,959,PR,PRMS,,,,,,,
00960,960,PR,PRMS,,,,,,,
00961,961,PR,PRMS,,,,,,,
00962,962,PR,PRMS,,,,,,,
00963,963,PR,PRMS,,,,,,,
00965,965,PR,PRMS,,,,,,,
00966,966,PR,PRMS,,,,,,,
00968,968,PR,PRMS,,,,,,,
00969,969,PR,PRMS,,,,,,,
00970,970,PR,PRMS,,,,,,,
00971,971,PR,PRMS,,,,,,,
00975,975,PR,PRMS,,,,,,,
00976,976,PR,PRMS,,,,,,,
00977,977,PR,PRMS,,,,,,,
00978,978,PR,PRMS,,,,,,,
00979,979,PR,PRMS,,,,,,,
00981,981,PR,PRMS,,,,,,,
00982,982,PR,PRMS,,,,,,,
00983,983,PR,PRMS,,,,,,,
00984,984,PR,PRMS,,,,,,,
00985,985,PR,PRMS,,,,,,,
00986,986,PR,PRMS,,,,,,,
00987,987,PR,PRMS,,,,,,,
00988,988,PR,PRMS,,,,,,,
01001,1001,MA,NEWE,,,,,,,
01002,1002,MA,NEWE,,,,,,,
01002,1002,MA,NEWE,,,,,,,
01003,1003,MA,NEWE,,,,,,,
01004,1004,MA,NEWE,,,,,,,
01005,1005,MA,NEWE,,,,,,,
01007,1007,MA,NEWE,,,,,,,
01008,1008,MA,NEWE,,,,,,,
01008,1008,MA,NEWE,,,,,,,
01009,1009,MA,NEWE,,,,,,,
01010,1010,MA,NEWE,,,,,,,
01011,1011,MA,NEWE,,,,,,,
01011,1011,MA,NEWE,,,,,,,
01012,1012,MA,NEWE,,,,,,,
01013,1013,MA,NEWE,,,,,,,
01013,1013,MA,NEWE,,,,,,,
01014,1014,MA,NEWE,,,,,,,
01014,1014,MA,NEWE,,,,,,,
01020,1020,MA,NEWE,,,,,,,
01020,1020,MA,NEWE,,,,,,,
01021,1021,MA,NEWE,,,,,,,
01021,1021,MA,NEWE,,,,,,,
01022,1022,MA,NEWE,,,,,,,
01022,1022,MA,NEWE,,,,,,,
01026,1026,MA,NEWE,,,,,,,
01027,1027,MA,NEWE,,,,,,,
01027,1027,MA,NEWE,,,,,,,
01028,1028,MA,NEWE,,,,,,,
01029,1029,MA,NEWE,,,,,,,
01030,1030,MA,NEWE,,,,,,,
01030,1030,MA,NEWE,,,,,,,
01031,1031,MA,NEWE,,,,,,,
01032,1032,MA,NEWE,,,,,,,
01033,1033,MA,NEWE,,,,,,,
01033,1033,MA,NEWE,,,,,,,
01034,1034,MA,NEWE,,,,,,,
01034,1034,MA,NEWE,,,,,,,
01035,1035,MA,NEWE,,,,,,,
01035,1035,MA,NEWE,,,,,,,
01036,1036,MA,NEWE,,,,,,,
01037,1037,MA,NEWE,,,,,,,
01038,1038,MA,NEWE,,,,,,,
01039,1039,MA,NEWE,,,,,,,
01040,1040,MA,NEWE,,,,,,,
01040,1040,MA,NEWE,,,,,,,
01041,1041,MA,NEWE,,,,,,,
01041,1041,MA,NEWE,,,,,,,
01050,1050,MA,NEWE,,,,,,,
01050,1050,MA,NEWE,,,,,,,
01053,1053,MA,NEWE,,,,,,,
01054,1054,MA,NEWE,,,,,,,
01056,1056,MA,NEWE,,,,,,,
01056,1056,MA,NEWE,,,,,,,
01057,1057,MA,NEWE,,,,,,,
01059,1059,MA,NEWE,,,,,,,
01060,1060,MA,NEWE,,,,,,,
01061,1061,MA,NEWE,,,,,,,
